county,prophappy,propfood,prophealthyfood,propfastfood,sentfood,sentfastfood,senthealthy,calories,propexercise,sentex,percentalc,sentalc
47085,.17613636,.018595042,.0056818184,.0005165289,.22222222,0,.090909094,226.20833,.014979339,.20689656,.0051652892,.1
47087,.21594684,.012458472,.0033222591,,.2,,.25,160.13333,.045681063,.41818181,.0083056474,.30000001
47089,.24368379,.03769356,.0065199672,.0026487368,.2972973,.53846157,.28125,219.35405,.020986145,.33009708,.0040749796,.15000001
47091,.29906541,.024922118,.015576324,,.25,,0,325.375,.034267914,.18181819,.0093457941,1
47093,.23485154,.055591606,.0081728203,.0036387532,.29255319,.17155756,.27135679,225.75246,.020477228,.27236262,.0083370982,.43054187
47095,.22881356,.036723163,.0056497175,.0028248588,.38461539,0,.5,300.38461,.016949153,.16666667,.0084745763,0
47097,.13704151,.015316404,.0020153164,.00040306328,.15789473,0,0,280.19736,.0072551388,.11111111,,
47099,.25376087,.038796518,.0071258908,.0015835313,.1632653,.5,.5,293.71429,.01266825,.375,.0011876485,0
47101,.18542199,.025575448,.0076726344,,.25,,.16666667,158.075,.010230179,.375,.0076726344,.5
47103,.21600001,.026666667,.006222222,.0035555556,.16666667,0,.2857143,280.69168,.016000001,.30555555,.003111111,0
47105,.20458697,.035721533,.0066977879,.006900751,.19886364,.17647059,.27272728,288.59143,.027603004,.20588236,.0014207428,.42857143
47107,.19103096,.058889244,.0095754871,.0025534632,.22764228,.125,.21666667,180.55826,.012607724,.29113925,.02537504,.24528302
47109,.23955432,.020427112,.0037140204,,.40909091,,.25,254.34091,.019498607,.42857143,.0046425257,.40000001
47111,.21031746,.015873017,.0026455026,,.25,,1,295.83334,.0092592593,.5714286,.0013227513,0
47113,.17471373,.033296395,.0048546251,.0033771305,.21077655,.203125,.17391305,239.88748,.013402986,.30314961,.0026911509,.33333334
47115,.18427798,.034747936,.0039874678,.00028481914,.22131148,0,.14285715,270.0369,.018228425,.28125,.0039874678,.5714286
47117,.19203889,.018839259,.0048617441,.001519295,.33870968,.2,.3125,237.76613,.014889091,.18367347,.0036463081,.25
47119,.19313073,.033177488,.0050350656,.0029670922,.2899729,.12121212,.39285713,240.07724,.012677576,.31914893,.002427621,.4074074
47121,.24440619,.020654045,.0017211704,,.41666666,,0,129.125,.0034423408,0,.0068846815,0
47123,.18325792,.021596052,.0049362401,.0020567668,.22857143,.1,.25,300.58655,.01727684,.33333334,.0014397367,0
47125,.17675252,.047011752,.0050429273,.006835042,.20035461,.10365853,.25619835,313.20993,.013711762,.26747721,.0049178964,.29661018
47127,.35408163,.10816327,.0020408162,,.52830189,,0,287.23114,.010204081,.2,.0051020407,.2
47129,.18638676,.013994911,.0012722646,.00063613232,.13636364,0,0,202.15909,.021628499,.44117647,.00063613232,0
47131,.19092332,.02253521,.0062597808,,.20833333,,.1,236.22917,.010328638,.24242425,.0037558686,.41666666
47133,.20238096,.037878789,.0064935065,.0032467532,.31428573,.33333334,.16666667,278.85715,.018398268,.11764706,.0032467532,.33333334
47135,.27138644,.032448377,.0088495575,,.18181819,,.33333334,323.95456,.005899705,.5,.0029498525,0
47137,.23774509,.004901961,,,.5,,,185.5,.014705882,.16666667,,
47139,.2898846,.019008825,.0054310928,.0013577732,.32142857,0,.375,269.28571,.13645621,.48258707,.00203666,.66666669
47141,.22542742,.041581649,.0056286496,.0078097517,.25888324,.16216215,.27500001,251.80034,.024414269,.29106629,.0045732781,.30769232
47143,.22891885,.036214646,.0087232357,.0015860428,.29927006,0,.36363637,187.93431,.021411577,.24691358,.0021147237,.5
47145,.18814433,.023195876,.0053157215,.0020940721,.19444445,.23076923,.030303031,269.91666,.01498067,.26881722,.0012886598,.5
47147,.19400856,.033199325,.0082998313,.0023343277,.26953125,.27777779,.359375,212.42941,.013357542,.25242719,.0033718066,.26923078
47149,.19504027,.039273478,.0051850253,.0057097003,.26679763,.2054054,.32142857,264.67786,.018625969,.33222866,.0036109996,.23504274
47151,.20829315,.015429122,.00096432015,,.1875,,1,250.25,.035679847,.2972973,.0019286403,.5
47153,.17710583,.025917927,.0010799136,.0010799136,.25,0,0,321.66666,.014038877,.30769232,,
47155,.30455148,.048682749,.0066065579,.0039531044,.3131257,.17123288,.34016395,239.343,.037744023,.39526543,.0057130479,.30805686
47157,.22774208,.039356776,.0056621777,.0032822066,.26575473,.14819005,.24852459,262.83105,.013010014,.27226028,.0047896453,.33565891
47159,.34537873,.028492009,.0048644892,.0020847812,.29268292,.33333334,.14285715,279.86584,.013203613,.10526316,.0020847812,.66666669
47161,.17893755,.029822927,.0027958993,.0046598325,.1875,0,.66666669,320.65625,.01863933,.2,.0055917986,.33333334
47163,.24168649,.033456497,.0053145722,.0059725665,.27534041,.14406779,.24761905,251.25606,.021410134,.2931442,.003391203,.37313432
47165,.2531285,.041137468,.0076578259,.0056499816,.28149828,.20661157,.2987805,275.48575,.023440419,.26494023,.0027082555,.37931034
47167,.26421493,.026864894,.0065206052,.001304121,.26213592,.2,.40000001,304.64078,.012780386,.36734694,.001304121,0
47169,.26264274,.014681892,.0048939642,,.44444445,,0,127.77778,.0081566069,0,.0016313214,1
47171,.24866596,.046958379,.011739595,.0021344717,.13636364,0,.18181819,150.77272,.022411954,.61904764,.0042689433,.5
47173,.22146893,.011299435,.0011299435,.0011299435,.2,0,0,286.79999,.021468926,.36842105,.0033898305,0
47175,.22735043,.011965812,.0017094017,,.2857143,,0,224.85715,.092307694,.2037037,.0017094017,1
47177,.18382353,.05882353,.026785715,.0010504202,.49107143,.5,.50980395,406.90179,.016281513,.48387095,.0021008404,0
47179,.25938091,.048231799,.0087735085,.0042292811,.3152985,.24468085,.35384616,291.41791,.027310356,.33772653,.0041392962,.43478259
47181,.28089887,.020224718,.0067415731,,.55555558,,.33333334,133,.026966292,.16666667,.002247191,0
47183,.21423729,.022372881,.0040677967,.0023728814,.27272728,.2857143,.25,283.56488,.0079661021,.063829787,.0016949152,0
47185,.23537509,.020646937,.0034411561,.002752925,.33333334,.25,.2,196.36667,.033723332,.51020408,.0034411561,.40000001
47187,.27865875,.059629679,.0097354576,.0059348848,.36891681,.22397476,.35576922,222.87193,.023982925,.34270102,.0060659391,.41358024
47189,.22034359,.037804268,.0056661074,.0043062419,.31175059,.12631579,.31999999,259.43433,.022029826,.3888889,.0028557181,.47619048
48001,.1361827,.024303373,.0054473076,.0016760947,.24137931,.25,.1923077,291.96552,.016970459,.22222222,.0010475592,0
48003,.15376569,.019874478,.0010460251,.0031380753,.10526316,.33333334,1,159.6842,.0031380753,0,.0041841003,0
48005,.19912812,.020644385,.0036578644,.0024552788,.25242719,.20408164,.30136988,237.59854,.020744601,.21014492,.0022548479,.15555556
48007,.20589188,.047264487,.0064745871,.00064745871,.2260274,.5,.5,213.32535,.024279702,.41333333,.0048559406,.2
