zipcode,prophappy,propfood,prophealthyfood,propfastfood,calories,senthealthy,sentfastfood,sentfood,propexercise,sentex
48075,.1513252,.030682944,.0065984824,.0054987352,290.56812,.16666667,.039999999,.1577061,.0093478505,.17647059
48076,.14079691,.047873922,.0047576567,.0071364851,306.65732,.21875,.083333336,.19875777,.011448111,.19480519
48079,.16846986,.036579084,.0056671817,.001545595,261.47183,.36363637,.33333334,.25352111,.022668727,.43181819
48080,.13519552,.040223464,.0057728118,.005586592,299.64352,.19354838,.60000002,.33796296,.011545624,.12903225
48081,.14897618,.039699122,.0064772251,.0041788551,217.22105,.32258064,0,.16842106,.022356873,.23364486
48082,.13305613,.027806653,.0054573803,.0033783785,291.17758,.38095239,.07692308,.29906541,.020010395,.11688311
48083,.21650739,.062901825,.014248479,.015638575,306.75763,.40243903,.14444445,.25414366,.03127715,.36666667
48084,.15621637,.055301398,.0064585577,.014800861,264.12439,.25,.19090909,.20924574,.015339075,.15789473
48085,.21894971,.044734649,.0069463742,.0094470689,241.86957,.23999999,.088235296,.19875777,.024451237,.26136363
48088,.11498258,.024157956,.0048780488,.0058072009,298.125,0,0,.086538464,.017189315,.14864865
48089,.12874386,.033527046,.0031291908,.0033527045,228.85905,.071428575,.06666667,.19333333,.0091640586,.14634146
48091,.16737758,.026616618,.0042654839,.0037536256,241.99678,.23999999,.045454547,.21153846,.0080191093,.25531915
48092,.14061284,.051485457,.0069995332,.014465703,238.23717,.06666667,.07526882,.1691843,.014621248,.27659574
48093,.13307887,.042239185,.0053435112,.0022900763,203.01506,.23809524,.11111111,.19879518,.0099236639,.17948718
48094,.15479921,.024494447,.0032754201,.0034178298,226.74127,.26086956,.25,.27906978,.012674452,.17977528
48095,.14729729,.041891892,.013513514,.0027027028,227.64516,.15000001,.25,.16129032,.024324324,.22222222
48096,.24697337,.060532689,.0048426152,.012106538,256.76001,0,0,.28,.038740922,.125
48097,.11698113,.016352201,0,.0025157232,228.53847,,.5,.30769232,.011320755,.11111111
48098,.16896047,.022547584,.0026354319,.0023426062,253.1039,.44444445,.25,.29870129,.054465592,.29032257
48101,.17225327,.041500401,.0049215215,.012237297,281.45337,.1891892,.42391303,.29487181,.0079808459,.21666667
48103,.20631178,.051774483,.008086253,.0041554356,259.7854,.2361111,.13513513,.28633407,.024820305,.30316743
48104,.22506808,.082063735,.01549275,.0058511812,213.80067,.34204274,.1572327,.34304932,.020755133,.20390071
48105,.72980034,.21450529,.00057481317,.0017369355,255.92387,.23913044,.064748198,.97500873,.0026616349,.38967136
48108,.22460186,.06132162,.010250778,.014643968,274.7388,.21428572,.1875,.24776119,.028555738,.23717949
48109,.22216737,.032214269,.0078992844,.0020982474,264.1839,.265625,.05882353,.26819924,.014811158,.25
48111,.13471387,.0247161,.0053440216,.0018926742,232.26471,.10416666,.05882353,.10810811,.010799376,.18556701
48114,.19518171,.036749694,.0073499386,.0012249898,208.51111,.3888889,0,.35555556,.017149856,.21428572
48116,.18965036,.055804197,.0085314689,.01006993,233.19675,.26229507,.20833333,.23057644,.034545455,.13360325
48117,.13743676,.012647555,.002529511,.00084317033,246.2,0,0,.2,.013490725,.3125
